lags,train_size,MAE,model,option,coverage,width,Std,positive_error_model,negative_error_model,alpha
96,0.4,56.62802418,OrthogonalMatchingPursuit(n_nonzero_coefs=18),errors,0.279165241,57.29129261,1,"ExtraTreesRegressor(n_jobs=-1,random_state=123)","ExtraTreesRegressor(bootstrap=True,max_depth=9,min_impurity_decrease=0.1,min_samples_leaf=4,min_samples_split=7,n_jobs=-1,random_state=123)",
96,0.4,56.62802418,OrthogonalMatchingPursuit(n_nonzero_coefs=18),errors,0.321245296,63.02042187,1.1,"ExtraTreesRegressor(n_jobs=-1,random_state=123)","ExtraTreesRegressor(bootstrap=True,max_depth=9,min_impurity_decrease=0.1,min_samples_leaf=4,min_samples_split=7,n_jobs=-1,random_state=123)",
96,0.4,56.62802418,OrthogonalMatchingPursuit(n_nonzero_coefs=18),errors,0.367567568,68.74955113,1.2,"ExtraTreesRegressor(n_jobs=-1,random_state=123)","ExtraTreesRegressor(bootstrap=True,max_depth=9,min_impurity_decrease=0.1,min_samples_leaf=4,min_samples_split=7,n_jobs=-1,random_state=123)",
96,0.4,56.62802418,OrthogonalMatchingPursuit(n_nonzero_coefs=18),errors,0.415942525,74.47868039,1.3,"ExtraTreesRegressor(n_jobs=-1,random_state=123)","ExtraTreesRegressor(bootstrap=True,max_depth=9,min_impurity_decrease=0.1,min_samples_leaf=4,min_samples_split=7,n_jobs=-1,random_state=123)",
96,0.4,56.62802418,OrthogonalMatchingPursuit(n_nonzero_coefs=18),errors,0.468696545,80.20780965,1.4,"ExtraTreesRegressor(n_jobs=-1,random_state=123)","ExtraTreesRegressor(bootstrap=True,max_depth=9,min_impurity_decrease=0.1,min_samples_leaf=4,min_samples_split=7,n_jobs=-1,random_state=123)",
96,0.4,56.62802418,OrthogonalMatchingPursuit(n_nonzero_coefs=18),errors,0.519261033,85.93693891,1.5,"ExtraTreesRegressor(n_jobs=-1,random_state=123)","ExtraTreesRegressor(bootstrap=True,max_depth=9,min_impurity_decrease=0.1,min_samples_leaf=4,min_samples_split=7,n_jobs=-1,random_state=123)",
96,0.4,56.62802418,OrthogonalMatchingPursuit(n_nonzero_coefs=18),errors,0.565651728,91.66606817,1.6,"ExtraTreesRegressor(n_jobs=-1,random_state=123)","ExtraTreesRegressor(bootstrap=True,max_depth=9,min_impurity_decrease=0.1,min_samples_leaf=4,min_samples_split=7,n_jobs=-1,random_state=123)",
96,0.4,56.62802418,OrthogonalMatchingPursuit(n_nonzero_coefs=18),errors,0.602805337,97.39519743,1.7,"ExtraTreesRegressor(n_jobs=-1,random_state=123)","ExtraTreesRegressor(bootstrap=True,max_depth=9,min_impurity_decrease=0.1,min_samples_leaf=4,min_samples_split=7,n_jobs=-1,random_state=123)",
96,0.4,56.62802418,OrthogonalMatchingPursuit(n_nonzero_coefs=18),errors,0.632637701,103.1243267,1.8,"ExtraTreesRegressor(n_jobs=-1,random_state=123)","ExtraTreesRegressor(bootstrap=True,max_depth=9,min_impurity_decrease=0.1,min_samples_leaf=4,min_samples_split=7,n_jobs=-1,random_state=123)",
96,0.4,56.62802418,OrthogonalMatchingPursuit(n_nonzero_coefs=18),errors,0.659391037,108.853456,1.9,"ExtraTreesRegressor(n_jobs=-1,random_state=123)","ExtraTreesRegressor(bootstrap=True,max_depth=9,min_impurity_decrease=0.1,min_samples_leaf=4,min_samples_split=7,n_jobs=-1,random_state=123)",
96,0.4,56.62802418,OrthogonalMatchingPursuit(n_nonzero_coefs=18),errors,0.681149504,114.5825852,2,"ExtraTreesRegressor(n_jobs=-1,random_state=123)","ExtraTreesRegressor(bootstrap=True,max_depth=9,min_impurity_decrease=0.1,min_samples_leaf=4,min_samples_split=7,n_jobs=-1,random_state=123)",
96,0.4,56.62802418,OrthogonalMatchingPursuit(n_nonzero_coefs=18),errors,0.700855286,120.3117145,2.1,"ExtraTreesRegressor(n_jobs=-1,random_state=123)","ExtraTreesRegressor(bootstrap=True,max_depth=9,min_impurity_decrease=0.1,min_samples_leaf=4,min_samples_split=7,n_jobs=-1,random_state=123)",
