lags,train_size,MAE,model,option,coverage,width,Std,positive_error_model,negative_error_model,alpha
96,0.4,45.0281747,GradientBoostingRegressor(random_state=123),errors,0.206842285,23.91866423,1,BayesianRidge(),"ExtraTreesRegressor(criterion='absolute_error',max_depth=4,max_features='log2',min_impurity_decrease=0.0002,min_samples_leaf=5,min_samples_split=9,n_estimators=130,n_jobs=-1,random_state=123)",
96,0.4,45.0281747,GradientBoostingRegressor(random_state=123),errors,0.227163873,26.31053065,1.1,BayesianRidge(),"ExtraTreesRegressor(criterion='absolute_error',max_depth=4,max_features='log2',min_impurity_decrease=0.0002,min_samples_leaf=5,min_samples_split=9,n_estimators=130,n_jobs=-1,random_state=123)",
96,0.4,45.0281747,GradientBoostingRegressor(random_state=123),errors,0.24269586,28.70239708,1.2,BayesianRidge(),"ExtraTreesRegressor(criterion='absolute_error',max_depth=4,max_features='log2',min_impurity_decrease=0.0002,min_samples_leaf=5,min_samples_split=9,n_estimators=130,n_jobs=-1,random_state=123)",
96,0.4,45.0281747,GradientBoostingRegressor(random_state=123),errors,0.261580568,31.0942635,1.3,BayesianRidge(),"ExtraTreesRegressor(criterion='absolute_error',max_depth=4,max_features='log2',min_impurity_decrease=0.0002,min_samples_leaf=5,min_samples_split=9,n_estimators=130,n_jobs=-1,random_state=123)",
96,0.4,45.0281747,GradientBoostingRegressor(random_state=123),errors,0.278686281,33.48612992,1.4,BayesianRidge(),"ExtraTreesRegressor(criterion='absolute_error',max_depth=4,max_features='log2',min_impurity_decrease=0.0002,min_samples_leaf=5,min_samples_split=9,n_estimators=130,n_jobs=-1,random_state=123)",
96,0.4,45.0281747,GradientBoostingRegressor(random_state=123),errors,0.29449196,35.87799635,1.5,BayesianRidge(),"ExtraTreesRegressor(criterion='absolute_error',max_depth=4,max_features='log2',min_impurity_decrease=0.0002,min_samples_leaf=5,min_samples_split=9,n_estimators=130,n_jobs=-1,random_state=123)",
96,0.4,45.0281747,GradientBoostingRegressor(random_state=123),errors,0.308723914,38.26986277,1.6,BayesianRidge(),"ExtraTreesRegressor(criterion='absolute_error',max_depth=4,max_features='log2',min_impurity_decrease=0.0002,min_samples_leaf=5,min_samples_split=9,n_estimators=130,n_jobs=-1,random_state=123)",
96,0.4,45.0281747,GradientBoostingRegressor(random_state=123),errors,0.322408484,40.66172919,1.7,BayesianRidge(),"ExtraTreesRegressor(criterion='absolute_error',max_depth=4,max_features='log2',min_impurity_decrease=0.0002,min_samples_leaf=5,min_samples_split=9,n_estimators=130,n_jobs=-1,random_state=123)",
96,0.4,45.0281747,GradientBoostingRegressor(random_state=123),errors,0.335340404,43.05359562,1.8,BayesianRidge(),"ExtraTreesRegressor(criterion='absolute_error',max_depth=4,max_features='log2',min_impurity_decrease=0.0002,min_samples_leaf=5,min_samples_split=9,n_estimators=130,n_jobs=-1,random_state=123)",
96,0.4,45.0281747,GradientBoostingRegressor(random_state=123),errors,0.349367089,45.44546204,1.9,BayesianRidge(),"ExtraTreesRegressor(criterion='absolute_error',max_depth=4,max_features='log2',min_impurity_decrease=0.0002,min_samples_leaf=5,min_samples_split=9,n_estimators=130,n_jobs=-1,random_state=123)",
96,0.4,45.0281747,GradientBoostingRegressor(random_state=123),errors,0.362230585,47.83732846,2,BayesianRidge(),"ExtraTreesRegressor(criterion='absolute_error',max_depth=4,max_features='log2',min_impurity_decrease=0.0002,min_samples_leaf=5,min_samples_split=9,n_estimators=130,n_jobs=-1,random_state=123)",
96,0.4,45.0281747,GradientBoostingRegressor(random_state=123),errors,0.375573041,50.22919489,2.1,BayesianRidge(),"ExtraTreesRegressor(criterion='absolute_error',max_depth=4,max_features='log2',min_impurity_decrease=0.0002,min_samples_leaf=5,min_samples_split=9,n_estimators=130,n_jobs=-1,random_state=123)",
96,0.4,45.0281747,GradientBoostingRegressor(random_state=123),errors,0.387889155,52.62106131,2.2,BayesianRidge(),"ExtraTreesRegressor(criterion='absolute_error',max_depth=4,max_features='log2',min_impurity_decrease=0.0002,min_samples_leaf=5,min_samples_split=9,n_estimators=130,n_jobs=-1,random_state=123)",
96,0.4,45.0281747,GradientBoostingRegressor(random_state=123),errors,0.400410537,55.01292773,2.3,BayesianRidge(),"ExtraTreesRegressor(criterion='absolute_error',max_depth=4,max_features='log2',min_impurity_decrease=0.0002,min_samples_leaf=5,min_samples_split=9,n_estimators=130,n_jobs=-1,random_state=123)",
