lags,train_size,MAE,model,option,coverage,width,Std,positive_error_model,negative_error_model,alpha
96,0.4,6.93330947,"OrthogonalMatchingPursuit(fit_intercept=False,n_nonzero_coefs=13)",errors,0.252103175,6.919459789,1,"OrthogonalMatchingPursuit(fit_intercept=False,n_nonzero_coefs=1)","ExtraTreesRegressor(bootstrap=True,max_depth=9,min_impurity_decrease=0.1,min_samples_leaf=4,min_samples_split=7,n_jobs=-1,random_state=123)",
96,0.4,6.93330947,"OrthogonalMatchingPursuit(fit_intercept=False,n_nonzero_coefs=13)",errors,0.278968254,7.611405768,1.1,"OrthogonalMatchingPursuit(fit_intercept=False,n_nonzero_coefs=1)","ExtraTreesRegressor(bootstrap=True,max_depth=9,min_impurity_decrease=0.1,min_samples_leaf=4,min_samples_split=7,n_jobs=-1,random_state=123)",
96,0.4,6.93330947,"OrthogonalMatchingPursuit(fit_intercept=False,n_nonzero_coefs=13)",errors,0.305119048,8.303351747,1.2,"OrthogonalMatchingPursuit(fit_intercept=False,n_nonzero_coefs=1)","ExtraTreesRegressor(bootstrap=True,max_depth=9,min_impurity_decrease=0.1,min_samples_leaf=4,min_samples_split=7,n_jobs=-1,random_state=123)",
96,0.4,6.93330947,"OrthogonalMatchingPursuit(fit_intercept=False,n_nonzero_coefs=13)",errors,0.332579365,8.995297726,1.3,"OrthogonalMatchingPursuit(fit_intercept=False,n_nonzero_coefs=1)","ExtraTreesRegressor(bootstrap=True,max_depth=9,min_impurity_decrease=0.1,min_samples_leaf=4,min_samples_split=7,n_jobs=-1,random_state=123)",
96,0.4,6.93330947,"OrthogonalMatchingPursuit(fit_intercept=False,n_nonzero_coefs=13)",errors,0.35734127,9.687243705,1.4,"OrthogonalMatchingPursuit(fit_intercept=False,n_nonzero_coefs=1)","ExtraTreesRegressor(bootstrap=True,max_depth=9,min_impurity_decrease=0.1,min_samples_leaf=4,min_samples_split=7,n_jobs=-1,random_state=123)",
96,0.4,6.93330947,"OrthogonalMatchingPursuit(fit_intercept=False,n_nonzero_coefs=13)",errors,0.382063492,10.37918968,1.5,"OrthogonalMatchingPursuit(fit_intercept=False,n_nonzero_coefs=1)","ExtraTreesRegressor(bootstrap=True,max_depth=9,min_impurity_decrease=0.1,min_samples_leaf=4,min_samples_split=7,n_jobs=-1,random_state=123)",
96,0.4,6.93330947,"OrthogonalMatchingPursuit(fit_intercept=False,n_nonzero_coefs=13)",errors,0.406706349,11.07113566,1.6,"OrthogonalMatchingPursuit(fit_intercept=False,n_nonzero_coefs=1)","ExtraTreesRegressor(bootstrap=True,max_depth=9,min_impurity_decrease=0.1,min_samples_leaf=4,min_samples_split=7,n_jobs=-1,random_state=123)",
96,0.4,6.93330947,"OrthogonalMatchingPursuit(fit_intercept=False,n_nonzero_coefs=13)",errors,0.431230159,11.76308164,1.7,"OrthogonalMatchingPursuit(fit_intercept=False,n_nonzero_coefs=1)","ExtraTreesRegressor(bootstrap=True,max_depth=9,min_impurity_decrease=0.1,min_samples_leaf=4,min_samples_split=7,n_jobs=-1,random_state=123)",
96,0.4,6.93330947,"OrthogonalMatchingPursuit(fit_intercept=False,n_nonzero_coefs=13)",errors,0.452777778,12.45502762,1.8,"OrthogonalMatchingPursuit(fit_intercept=False,n_nonzero_coefs=1)","ExtraTreesRegressor(bootstrap=True,max_depth=9,min_impurity_decrease=0.1,min_samples_leaf=4,min_samples_split=7,n_jobs=-1,random_state=123)",
96,0.4,6.93330947,"OrthogonalMatchingPursuit(fit_intercept=False,n_nonzero_coefs=13)",errors,0.472857143,13.1469736,1.9,"OrthogonalMatchingPursuit(fit_intercept=False,n_nonzero_coefs=1)","ExtraTreesRegressor(bootstrap=True,max_depth=9,min_impurity_decrease=0.1,min_samples_leaf=4,min_samples_split=7,n_jobs=-1,random_state=123)",
